dbn,the_geom,NAME,STREETNAME,HOUSENUM,CITY,ZIP,URL,BIN,BBL,X,Y,SYSTEM,BOROCODE,longitude,latitude
4083512,POINT (-73.90258827579805 40.70522689472795),Ridgewood,Madison Street,20-12,Ridgewood,11385,http://www.queenslibrary.org/branch/Ridgewood?filters=ev_loc:92100000,4083512,4034910001,1011258.2804,196224.669983,QPL,4,-73.90258827579805,40.70522689472795
4270057,POINT (-73.7705902160538 40.67287520439724),Rochdale Village,137 Avenue,169-09,Jamaica,11434,http://www.queenslibrary.org/branch/Rochdale-Village?filters=ev_loc:95000000,4270057,4124950175,1047886.7431200001,184506.315749,QPL,4,-73.7705902160538,40.67287520439724
4287999,POINT (-73.73991101315558 40.659963623126),Rosedale,243 Street,144-20,Rosedale,11422,http://www.queenslibrary.org/branch/Rosedale?filters=ev_loc:95100000,4287999,4135490007,1056410.89274,179826.060673,QPL,4,-73.73991101315558,40.659963623126
4304786,POINT (-73.83774700520225 40.57940488152449),Seaside,Rockaway Beach Boulevard,116-15,Rockaway Park,11694,http://www.queenslibrary.org/branch/Seaside?filters=ev_loc:96300000,4304786,4162260001,1029321.0,150411.0,QPL,4,-73.83774700520225,40.57940488152449
4442263,POINT (-73.75379739629261 40.707003911354256),South Hollis,Hollis Avenue,204-01,South Hollis,11412,http://www.queenslibrary.org/branch/South-Hollis?filters=ev_loc:95300000,4442263,4109070030,1052510.0,196953.0,QPL,4,-73.75379739629261,40.707003911354256
4539786,POINT (-73.79021187041809 40.695611117576654),South Jamaica,Guy R. Brewer Boulevard,108-41,Jamaica,11433,http://www.queenslibrary.org/branch/South-Jamaica?filters=ev_loc:95400000,4539786,4101710008,1042424.0,192776.0,QPL,4,-73.79021187041809,40.695611117576654
4254814,POINT (-73.80926182925428 40.674783953734696),South Ozone Park,Rockaway Boulevard,128-16,South Ozone Park,11420,http://www.queenslibrary.org/branch/South-Ozone-Park?filters=ev_loc:95500000,4254814,4117500057,1037158.0,185176.0,QPL,4,-73.80926182925428,40.674783953734696
4238275,POINT (-73.76007289358745 40.69249997141939),St.Albans,Linden Boulevard,191-05,St. Albans,11412,http://www.queenslibrary.org/branch/St.Albans?filters=ev_loc:95200000,4238275,4110620024,1050784.58759,191663.97522,QPL,4,-73.76007289358745,40.69249997141939
4016923,POINT (-73.90945659290355 40.77682707405275),Steinway,31 Street,21-45,Long Island City,11105,http://www.queenslibrary.org/branch/Steinway?filters=ev_loc:95600000,4016923,4008310015,1009327.0145899999,222308.83343499998,QPL,4,-73.90945659290355,40.77682707405275
4002111,POINT (-73.9216680312544 40.7408466968306),Sunnyside,Greenpoint Avenue,43-06,Long Island City,11104,http://www.queenslibrary.org/branch/Sunnyside?filters=ev_loc:95700000,4002111,4001730016,1005956.64264,209196.75103800002,QPL,4,-73.9216680312544,40.7408466968306
4107201,POINT (-73.81070183926587 40.78854019464647),Whitestone,14 Road,151-10,Whitestone,11357,http://www.queenslibrary.org/branch/Whitestone?filters=ev_loc:95800000,4107201,4047170025,1036669.0,226620.0,QPL,4,-73.81070183926587,40.78854019464647
4164306,POINT (-73.7556194209342 40.73450483347836),Windsor Park,Bell Boulevard,79-50,Bayside,11364,http://www.queenslibrary.org/branch/Windsor-Park?filters=ev_loc:95900000,4164306,4077720001,1051976.89001,206970.9776,QPL,4,-73.7556194209342,40.73450483347836
4181578,POINT (-73.86145741517984 40.69453115325741),Woodhaven,Forest Parkway,85-41,Woodhaven,11421,http://www.queenslibrary.org/branch/Woodhaven?filters=ev_loc:96000000,4181578,4088560085,1022668.33783,192343.257019,QPL,4,-73.86145741517984,40.69453115325741
4030847,POINT (-73.9097937387323 40.745341712986715),Woodside,Skillman Avenue,54-22,Woodside,11377,http://www.queenslibrary.org/branch/Woodside?filters=ev_loc:96100000,4030847,4013170085,1009245.45098,210837.59313800003,QPL,4,-73.9097937387323,40.745341712986715
